Country Name,Life Expectancy At Birth
Lesotho,50.755941176470586
Chad,51.09152941176471
Central African Republic,51.295941176470585
Nigeria,51.676352941176475
Somalia,54.68505882352941
Eswatini,55.04082352941176
South Sudan,55.348
Zimbabwe,55.57464705882353
Sierra Leone,56.13017647058823
Mozambique,56.896235294117645
Mali,57.55894117647058
Burkina Faso,57.79888235294118
Guinea,58.13358823529411
Cameroon,58.605
Togo,58.932647058823534
Zambia,58.97376470588235
Burundi,58.97929411764706
Angola,59.03782352941177
Benin,59.04752941176471
Namibia,59.339882352941174
Malawi,59.60435294117647
Uganda,59.745411764705885
Liberia,59.766999999999996
Niger,59.96729411764706
Djibouti,60.14494117647058
Kenya,61.25841176470588
South Africa,61.47464705882353
Haiti,61.48717647058823
Afghanistan,61.944529411764705
Botswana,62.03235294117647
Comoros,62.386117647058825
Ghana,62.57629411764706
Tanzania,62.96347058823529
Ethiopia,63.46658823529412
Sudan,63.60441176470589
Madagascar,64.01376470588235
Mauritania,64.02499999999999
Rwanda,64.05705882352942
Gabon,65.18841176470588
Pakistan,65.30482352941176
Myanmar,65.31711764705882
Senegal,65.94570588235294
Bolivia,66.23400000000001
Nepal,67.93441176470589
India,68.26617647058823
Iraq,68.50894117647059
Turkmenistan,68.61864705882353
Cambodia,68.85576470588235
Indonesia,69.00070588235293
Tajikistan,69.00829411764707
