Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
Mauritania,62.228,3.923,0.648,0.447,-0.181,0.586,0.631,0.129
Mauritius,73.26682927,5.477,0.785,0.798,-0.081,0.769,0.653,0.136
Mexico,70.133,5.964,0.759,0.67,-0.208,0.615,0.7,0.196
Moldova,68.479,4.775,0.803,0.551,-0.19,0.875,0.519,0.255
Mongolia,65.97,4.493,0.881,0.484,0.048,0.843,0.483,0.15
Montenegro,74.33902439,4.801,0.704,0.462,-0.232,0.693,0.468,0.317
Morocco,70.829,4.383,0.505,0.572,-0.257,0.717,0.501,0.187
Mozambique,51.961,4.28,0.664,0.514,-0.035,0.627,0.56,0.24
Myanmar,64.141,4.154,0.612,0.631,0.468,0.592,0.574,0.112
Namibia,53.68,4.436,0.741,0.659,-0.198,0.79,0.644,0.16
Nepal,65.868,3.809,0.699,0.413,-0.024,0.712,0.414,0.152
Netherlands,80.09756098,7.314,0.879,0.856,0.145,0.281,0.679,0.181
New Zealand,80.04878049,6.975,0.93,0.831,0.113,0.186,0.706,0.151
Nicaragua,68.725,4.46,0.8,0.717,-0.024,0.57,0.74,0.255
Niger,54.596,3.671,0.582,0.584,-0.082,0.483,0.582,0.115
Nigeria,49.73,4.266,0.663,0.537,-0.04,0.835,0.652,0.141
North Macedonia,73.24634146,4.18,0.687,0.439,-0.094,0.824,0.447,0.251
Norway,80.34390244,7.29,0.927,0.936,0.01,0.25,0.759,0.155
Pakistan,63.852,4.414,0.373,0.335,0.0,0.677,0.469,0.274
Panama,76.012,5.979,0.873,0.64,-0.208,0.796,0.776,0.144
Paraguay,70.262,4.73,0.863,0.649,-0.082,0.756,0.752,0.176
Peru,72.377,4.811,0.749,0.638,-0.184,0.824,0.675,0.319
Philippines,69.266,4.589,0.775,0.828,-0.155,0.711,0.736,0.29
Poland,75.24390244,5.646,0.863,0.732,-0.26,0.639,0.566,0.14
Portugal,78.4195122,4.994,0.856,0.646,-0.267,0.867,0.608,0.265
Qatar,77.878,6.375,0.838,0.865,0.0,0.184,0.661,0.258
Romania,72.56585366,4.909,0.689,0.566,-0.228,0.918,0.501,0.231
Rwanda,58.714,3.108,0.486,0.752,-0.042,0.078,0.608,0.112
Saudi Arabia,75.046,6.148,0.818,0.532,-0.198,0.445,0.607,0.202
Senegal,61.75,3.647,0.602,0.557,-0.168,0.7,0.669,0.143
Serbia,72.7804878,4.38,0.726,0.373,-0.191,0.801,0.446,0.242
Sierra Leone,49.323,2.56,0.502,0.624,-0.075,0.786,0.494,0.29
Singapore,80.14146341,6.033,0.808,0.661,-0.155,0.035,0.404,0.107
Slovenia,78.08658537,5.678,0.901,0.851,-0.125,0.708,0.575,0.228
Somalia,54.277,4.668,0.594,0.874,0.016,0.41,0.689,0.187
South Africa,54.278,3.661,0.788,0.59,-0.213,0.791,0.656,0.124
South Sudan,54.973,2.817,0.532,0.44,,0.71,0.553,0.428
Spain,80.87317073,6.15,0.903,0.722,-0.155,0.673,0.601,0.26
Sri Lanka,69.187,3.977,0.805,0.724,-0.05,0.69,0.59,0.153
Sudan,62.644,4.139,0.811,0.39,-0.08,0.663,0.461,0.221
Sweden,80.9,7.239,0.903,0.864,0.072,0.191,0.717,0.134
Switzerland,81.4902439,6.884,0.881,0.848,-0.073,0.21,0.71,0.166
Tajikistan,67.013,4.263,0.663,0.693,-0.127,0.397,0.475,0.133
Tanzania,56.911,2.903,0.6,0.562,-0.05,0.521,0.607,0.145
Thailand,74.938,5.476,0.832,0.781,0.208,0.868,0.719,0.117
Togo,56.222,2.808,0.291,0.287,-0.108,0.713,0.398,0.348
Trinidad and Tobago,71.256,5.832,0.858,0.775,0.01,0.9,0.75,0.134
Tunisia,73.772,4.124,0.609,0.474,-0.239,0.722,0.367,0.239
Turkmenistan,67.958,4.621,0.846,0.701,-0.126,,0.488,0.117
Uganda,54.369,3.71,0.74,0.578,-0.06,0.807,0.552,0.228
Ukraine,68.07756098,3.965,0.82,0.431,-0.273,0.852,0.472,0.186
United Arab Emirates,76.909,6.458,0.798,0.849,-0.043,0.203,0.694,0.208
United Kingdom,79.44878049,6.515,0.854,0.759,0.196,0.404,0.684,0.174
United States,76.32926829,6.693,0.897,0.736,0.028,0.6,0.712,0.227
Uruguay,75.436,5.664,0.865,0.786,-0.178,0.471,0.685,0.214
Uzbekistan,67.891,5.095,0.85,0.784,-0.125,0.434,0.646,0.103
Zambia,51.795,3.082,0.619,0.663,-0.108,0.716,0.634,0.123
Zimbabwe,45.364,2.694,0.666,0.344,-0.111,0.724,0.571,0.122
