Country Name,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
Mexico,74.832,7.443,0.893,0.903,-0.037,0.809,0.818,0.305
Moldova,70.935,6.017,0.892,0.859,-0.052,0.969,0.698,0.314
Mongolia,72.667,6.011,0.951,0.781,0.215,0.962,0.575,0.26
Montenegro,76.84146341,5.722,0.887,0.802,0.091,0.849,0.56,0.423
Morocco,74.973,5.386,0.833,0.819,-0.173,0.9,0.707,0.416
Mozambique,61.166,5.178,0.879,0.897,0.083,0.864,0.642,0.397
Myanmar,67.256,4.786,0.796,0.906,0.7,0.729,0.729,0.353
Namibia,63.075,4.949,0.864,0.849,-0.107,0.879,0.769,0.277
Nepal,70.484,5.982,0.874,0.845,0.303,0.95,0.589,0.387
Netherlands,82.11219512,7.631,0.957,0.935,0.359,0.505,0.776,0.247
New Zealand,82.76097561,7.604,0.987,0.949,0.341,0.334,0.825,0.238
Nicaragua,74.615,6.476,0.894,0.922,0.135,0.844,0.8,0.408
Niger,62.897,5.164,0.818,0.88,0.073,0.814,0.794,0.503
Nigeria,53.633,5.503,0.824,0.826,0.172,0.935,0.815,0.316
North Macedonia,76.64878049,5.535,0.871,0.793,0.188,0.937,0.587,0.422
Norway,83.2097561,7.678,0.966,0.965,0.249,0.503,0.809,0.216
Pakistan,66.756,5.831,0.69,0.773,0.292,0.874,0.583,0.424
Panama,77.863,7.321,0.951,0.9,0.074,0.915,0.86,0.264
Paraguay,73.644,6.138,0.959,0.922,0.188,0.93,0.876,0.303
Peru,76.156,5.999,0.875,0.83,-0.066,0.931,0.794,0.481
Philippines,72.187,6.268,0.854,0.952,0.078,0.88,0.833,0.393
Poland,77.90487805,6.666,0.955,0.883,0.122,0.925,0.711,0.329
Portugal,81.67560976,6.183,0.905,0.913,-0.103,0.962,0.681,0.383
Qatar,80.064,6.85,0.894,0.924,0.23,0.184,0.683,0.328
Romania,75.60731707,6.785,0.869,0.871,-0.091,0.974,0.674,0.344
Rwanda,66.437,4.363,0.75,0.924,0.06,0.41,0.765,0.418
Saudi Arabia,77.905,7.267,0.921,0.902,0.002,0.508,0.728,0.327
Senegal,68.526,5.489,0.856,0.797,0.049,0.918,0.816,0.332
Serbia,75.93658537,6.546,0.903,0.85,0.261,0.977,0.579,0.435
Sierra Leone,60.411,4.909,0.869,0.77,0.243,0.925,0.635,0.505
Singapore,83.59512195,7.062,0.925,0.938,0.287,0.242,0.774,0.267
Slovenia,81.52926829,6.761,0.955,0.958,0.099,0.918,0.644,0.314
Somalia,55.044,5.528,0.611,0.968,0.069,0.456,0.773,0.207
South Africa,66.175,5.599,0.922,0.862,-0.03,0.912,0.784,0.301
South Sudan,55.566,4.071,0.585,0.567,,0.785,0.594,0.549
Spain,83.83170732,7.294,0.957,0.834,-0.001,0.916,0.717,0.372
Sri Lanka,76.61,4.778,0.864,0.902,0.312,0.9,0.789,0.321
Sudan,64.269,4.55,0.911,0.71,0.046,0.794,0.688,0.303
Sweden,83.1097561,7.56,0.97,0.953,0.232,0.324,0.796,0.222
Switzerland,83.90487805,7.776,0.959,0.949,0.284,0.408,0.794,0.212
Tajikistan,71.594,5.829,0.883,0.853,0.116,0.792,0.71,0.344
Tanzania,66.989,4.385,0.883,0.856,0.305,0.93,0.74,0.271
Thailand,79.68,6.985,0.933,0.927,0.548,0.943,0.884,0.326
Togo,61.619,4.361,0.603,0.772,0.041,0.932,0.628,0.483
Trinidad and Tobago,74.23,6.696,0.916,0.859,0.139,0.959,0.827,0.286
Tunisia,75.993,5.246,0.863,0.781,-0.127,0.933,0.697,0.439
Turkmenistan,69.002,6.568,0.984,0.892,0.282,,0.695,0.35
Uganda,63.638,4.948,0.885,0.834,0.14,0.898,0.709,0.439
Ukraine,71.82731707,5.311,0.909,0.829,0.408,0.968,0.629,0.39
United Arab Emirates,79.726,7.218,0.912,0.962,0.206,0.355,0.739,0.302
United Kingdom,82.05853659,7.233,0.97,0.905,0.397,0.587,0.753,0.27
United States,78.84146341,7.513,0.965,0.911,0.268,0.747,0.786,0.295
Uruguay,78.43,6.671,0.933,0.917,0.054,0.683,0.812,0.306
Uzbekistan,71.674,6.421,0.968,0.985,0.366,0.662,0.778,0.279
Zambia,62.793,5.26,0.864,0.889,0.138,0.948,0.771,0.394
Zimbabwe,61.414,4.955,0.896,0.763,0.003,0.964,0.734,0.346
