Country Name,Life Expectancy At Birth
Japan,83.49945050235294
Switzerland,82.86352367352941
Spain,82.51354089058823
Italy,82.44626542294118
Iceland,82.41313916764706
Australia,82.2550430417647
Singapore,82.20660688529412
France,82.04925107705881
Sweden,82.03704160705882
Israel,81.94433285470588
Norway,81.84852797764705
Luxembourg,81.78810043058823
Malta,81.64708034411764
Canada,81.48009325764706
New Zealand,81.38091391647059
Ireland,81.28720946882353
Netherlands,81.18512912529411
Austria,81.03100286941176
Finland,80.84045480647058
Belgium,80.81730846470589
Greece,80.75197417588235
United Kingdom,80.72543041588236
Germany,80.50825251117647
Cyprus,80.42929411764706
Portugal,80.3921678617647
Slovenia,80.21979053176472
Denmark,80.17122668529412
Chile,79.24894117647058
Qatar,79.19952941176471
Bahrain,79.1765294117647
Kuwait,78.9034705882353
Costa Rica,78.82494117647059
United Arab Emirates,78.70241176470589
United States,78.2088952635294
Czechia,78.09085796235294
Albania,78.03458823529411
Lebanon,77.98505882352941
Thailand,77.33805882352942
Uruguay,77.14370588235295
Croatia,77.0494289817647
Panama,76.93076470588235
Poland,76.7098823517647
China,76.58317647058823
Bosnia and Herzegovina,76.49176470588236
Estonia,76.44691104647059
Saudi Arabia,76.44064705882353
Argentina,76.18258823529412
Montenegro,75.94372453294118
Ecuador,75.7975294117647
Tunisia,75.38817647058823
