Country Name,Negative Affect
Kazakhstan,0.1575294117647059
Iceland,0.1608235294117647
Singapore,0.16364705882352942
China,0.17229411764705882
Uzbekistan,0.17523529411764707
Djibouti,0.17794117647058824
Sweden,0.1808235294117647
Finland,0.18388235294117647
Japan,0.18429411764705883
Austria,0.18464705882352941
Turkmenistan,0.18576470588235294
Mongolia,0.18788235294117647
Switzerland,0.19023529411764706
Thailand,0.19258823529411764
Estonia,0.1928235294117647
Somalia,0.19594117647058823
Norway,0.19770588235294118
Denmark,0.20029411764705882
New Zealand,0.20270588235294115
Germany,0.20611764705882352
Tajikistan,0.20641176470588235
Luxembourg,0.20841176470588235
Netherlands,0.20841176470588235
Mauritius,0.20894117647058824
Tanzania,0.20911764705882355
Kenya,0.20976470588235294
Panama,0.21288235294117647
Australia,0.21541176470588236
Belarus,0.21599999999999997
Trinidad and Tobago,0.21605882352941178
Ireland,0.2174705882352941
Latvia,0.21894117647058822
Malaysia,0.2194705882352941
Mauritania,0.22111764705882353
Bulgaria,0.22294117647058823
South Africa,0.22347058823529412
Zimbabwe,0.22347058823529412
Namibia,0.22611764705882353
United Kingdom,0.22688235294117648
Paraguay,0.22976470588235295
Senegal,0.22976470588235295
Poland,0.23005882352941176
Nigeria,0.23041176470588234
Ethiopia,0.23135294117647057
Sri Lanka,0.2338235294117647
Lesotho,0.23458823529411765
Ukraine,0.23470588235294118
Ghana,0.23523529411764707
Mexico,0.23576470588235293
Botswana,0.23676470588235296
