Country Name,Life Expectancy At Birth
Lesotho,50.72729411764706
Chad,51.09147058823529
Central African Republic,51.25176470588235
Nigeria,51.671470588235294
Somalia,54.704588235294125
Eswatini,54.86958823529412
South Sudan,55.348
Zimbabwe,55.57464705882353
Sierra Leone,56.12388235294117
Mozambique,56.88717647058824
Mali,57.55347058823529
Burkina Faso,57.810529411764705
Guinea,58.159176470588235
Cameroon,58.605
Togo,58.945882352941176
Zambia,58.97017647058823
Burundi,58.9975294117647
Benin,59.051117647058824
Angola,59.051117647058824
Namibia,59.25288235294118
Malawi,59.60535294117648
Uganda,59.745411764705885
Liberia,59.77194117647059
Niger,59.959823529411764
Djibouti,60.12976470588235
Kenya,61.25841176470588
South Africa,61.47464705882353
Haiti,61.58758823529412
Afghanistan,61.94264705882353
Botswana,62.06582352941176
Comoros,62.414235294117645
Ghana,62.57629411764706
Tanzania,62.96347058823529
Ethiopia,63.47382352941177
Sudan,63.647352941176464
Madagascar,63.987529411764704
Mauritania,64.02011764705883
Rwanda,64.05135294117648
Gabon,65.18223529411765
Pakistan,65.30376470588236
Myanmar,65.31676470588235
Senegal,65.94570588235294
Bolivia,66.23400000000001
Nepal,67.93441176470589
India,68.26617647058823
Iraq,68.49788235294118
Turkmenistan,68.61488235294118
Cambodia,68.85576470588235
Indonesia,69.00070588235293
Tajikistan,69.00829411764707
