Country Name,Generosity
Myanmar,0.6270588235294118
Indonesia,0.4162941176470588
Thailand,0.3675294117647059
United Kingdom,0.3041764705882353
Bhutan,0.29505882352941176
Malta,0.2921764705882353
Haiti,0.27999999999999997
Netherlands,0.27652941176470586
Australia,0.2654705882352941
Iceland,0.25176470588235295
New Zealand,0.2451764705882353
Ireland,0.2233529411764706
Canada,0.21082352941176472
United States,0.1836470588235294
Denmark,0.17094117647058824
Kenya,0.15617647058823528
Sweden,0.15005882352941177
Cambodia,0.14970588235294116
Sri Lanka,0.14394117647058824
Austria,0.14347058823529413
Nepal,0.14147058823529413
Tanzania,0.12817647058823528
Malaysia,0.12758823529411764
Qatar,0.1254705882352941
Norway,0.12335294117647058
Mongolia,0.11641176470588235
Switzerland,0.11252941176470588
Israel,0.10605882352941176
Mauritius,0.09952941176470588
Uzbekistan,0.09876470588235294
Germany,0.08664705882352941
United Arab Emirates,0.08470588235294117
Pakistan,0.08199999999999999
Honduras,0.07500000000000001
Trinidad and Tobago,0.07417647058823529
Sierra Leone,0.07241176470588234
Ghana,0.07011764705882352
Chile,0.0688235294117647
Malawi,0.06670588235294118
Nigeria,0.06347058823529411
Bosnia and Herzegovina,0.05694117647058823
Singapore,0.05282352941176471
Turkmenistan,0.051647058823529414
Afghanistan,0.051176470588235295
Uganda,0.04947058823529411
Bahrain,0.0491764705882353
Ethiopia,0.04911764705882353
Guinea,0.046882352941176465
Guatemala,0.04370588235294118
Luxembourg,0.040352941176470584
