Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Iceland,2006,81.988,7.139,0.977,0.896,0.26,0.696,0.837,0.155,Europe,1.0
Switzerland,2006,81.4902439,7.473,0.951,0.919,0.284,0.408,0.742,0.212,Europe,0.9940573314612312
Australia,2006,81.375,7.297,0.958,0.902,0.332,0.428,0.75,0.216,Oceania,0.9874079660243305
Japan,2006,82.567,6.117,0.922,0.783,-0.122,0.692,0.69,0.199,Asia,0.9822927623092337
Sweden,2006,80.998,7.377,0.928,0.907,0.142,0.255,0.744,0.165,Europe,0.9767359939669373
Canada,2006,80.645,7.487,0.94,0.927,0.246,0.412,0.808,0.24,North America,0.9738434975887594
Italy,2006,81.467,6.602,0.901,0.653,0.101,0.897,0.636,0.289,Europe,0.9686786798706069
Spain,2006,81.018,7.015,0.951,0.791,-0.118,0.79,0.691,0.271,Europe,0.9674035999920613
Netherlands,2006,80.252,7.484,0.944,0.896,0.343,0.406,0.713,0.204,Europe,0.9635634761555101
Israel,2006,80.55365854,7.173,0.927,0.817,0.19,0.905,0.639,0.308,Asia,0.9631184023298734
Norway,2006,80.34390244,7.416,0.959,0.96,0.101,0.397,0.767,0.197,Europe,0.9629954563495999
Luxembourg,2006,80.747,7.001,0.941,0.932,0.104,0.374,0.716,0.231,Europe,0.9618220246482367
New Zealand,2006,80.04878049,7.305,0.946,0.932,0.304,0.224,0.825,0.219,Oceania,0.954354633203675
France,2006,80.81219512,6.583,0.944,0.789,0.12,0.699,0.694,0.289,Europe,0.9535214808787632
Austria,2006,79.8804878,7.122,0.936,0.941,0.297,0.49,0.746,0.174,Europe,0.945873300720395
Belgium,2006,79.845,7.178,0.919,0.889,0.044,0.605,0.742,0.226,Europe,0.9439758677489128
Finland,2006,79.21463415,7.672,0.965,0.969,-0.011,0.132,0.683,0.172,Europe,0.938097455545853
Malta,2006,80.505,6.174,0.917,0.814,0.385,0.688,0.627,0.362,Europe,0.9380073031812497
Ireland,2006,79.24146341,7.144,0.967,0.943,0.235,0.473,0.815,0.209,Europe,0.9310529929647337
Singapore,2006,80.14146341,6.463,0.904,0.757,0.132,0.101,0.689,0.267,Asia,0.9301847479112503
