Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2021,83.75121951,7.328,0.934,0.908,0.024,0.287,0.747,0.183,Europe,1.0
Iceland,2021,83.16585366,7.565,0.98,0.923,0.257,0.664,0.806,0.159,Europe,0.996058480342272
Norway,2021,83.16341463,7.362,0.948,0.936,0.166,0.263,0.769,0.207,Europe,0.9863944639068336
Sweden,2021,83.05609756,7.439,0.932,0.953,0.172,0.191,0.763,0.19,Europe,0.985017269173201
Australia,2021,83.3,7.112,0.92,0.912,0.234,0.454,0.74,0.235,Oceania,0.9842351881081578
Japan,2021,84.44560976,6.091,0.896,0.801,-0.213,0.67,0.674,0.189,Asia,0.9813319849403417
Luxembourg,2021,82.849,7.261,0.896,0.917,-0.001,0.374,0.716,0.214,Europe,0.9717265366432478
Israel,2021,82.5,7.578,0.917,0.82,-0.008,0.726,0.558,0.217,Asia,0.9700698762969495
Spain,2021,83.22926829,6.47,0.926,0.782,-0.076,0.729,0.639,0.324,Europe,0.9595892856272515
Finland,2021,81.88536585,7.794,0.97,0.963,-0.039,0.192,0.752,0.175,Europe,0.9593842972873564
Singapore,2021,83.09268293,6.587,0.876,0.879,0.06,0.145,0.697,0.16,Asia,0.9574885779669193
New Zealand,2021,82.20731707,7.137,0.95,0.91,0.216,0.252,0.747,0.206,Oceania,0.9522829165019707
Ireland,2021,82.35365854,6.828,0.85,0.846,0.131,0.36,0.733,0.245,Europe,0.9454006030718726
Denmark,2021,81.40487805,7.699,0.945,0.933,0.13,0.173,0.792,0.206,Europe,0.9446219008435319
Malta,2021,82.50731707,6.444,0.897,0.889,0.239,0.753,0.635,0.375,Europe,0.9429259603300192
Italy,2021,82.64634146,6.467,0.886,0.703,-0.096,0.862,0.634,0.318,Europe,0.9417491077832743
France,2021,82.32439024,6.656,0.915,0.837,-0.104,0.561,0.685,0.268,Europe,0.9382640248923132
Netherlands,2021,81.3097561,7.314,0.919,0.856,0.266,0.397,0.714,0.201,Europe,0.9315094067839835
Belgium,2021,81.7902439,6.882,0.915,0.823,0.077,0.523,0.687,0.26,Europe,0.9310559263189468
Canada,2021,81.58707317,6.939,0.926,0.898,0.189,0.384,0.763,0.276,North America,0.9292904363756512
