Country Name,Life Expectancy At Birth
Japan,83.49868579647058
Switzerland,82.87117073235294
Spain,82.51554089058824
Italy,82.44820659941176
Iceland,82.43866857941175
Australia,82.25227833588235
Singapore,82.20484217941176
France,82.04589813588234
Sweden,82.0374533717647
Israel,81.94433285470588
Norway,81.84823386000001
Luxembourg,81.77704160705882
Malta,81.65449210882353
Canada,81.48068149294117
New Zealand,81.38267862235294
Ireland,81.29085652764707
Netherlands,81.18554089
Austria,81.03500286941177
Finland,80.84339598294117
Belgium,80.81801434705882
Greece,80.74820947
United Kingdom,80.73207747470589
Germany,80.50784074647059
Cyprus,80.43088235294118
Portugal,80.39405021470589
Slovenia,80.21302582588235
Denmark,80.16740315588235
Chile,79.24894117647058
Bahrain,79.16929411764706
Qatar,79.13017647058824
Kuwait,78.90076470588235
Costa Rica,78.82494117647059
United Arab Emirates,78.68511764705882
United States,78.2088952635294
Czechia,78.07803443294118
Albania,78.03235294117647
Lebanon,77.98529411764706
Thailand,77.33805882352942
Uruguay,77.14370588235295
Croatia,77.04766427588235
Panama,76.93758823529413
Poland,76.70823529294117
China,76.58505882352941
Bosnia and Herzegovina,76.48776470588234
Estonia,76.44532281117647
Saudi Arabia,76.44164705882353
Argentina,76.18258823529412
Montenegro,75.9463715917647
Ecuador,75.7975294117647
Tunisia,75.38923529411764
